Date,Time,Location,Age,Gender,Division,Home Team,Away Team,,Pending reschedules:
4/11/2026,09:00 EDT,SCC01,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,East Orlando Knights 2016B Gold,,
4/11/2026,09:00 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,2015B Elite,,
4/11/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 3,Team 1,,
4/11/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 5,Team 2,,
4/11/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 6,Team 4,,
4/11/2026,10:15 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 1,U10 VRP3 ORDONEZ Space Coast Rec S26,,
4/11/2026,10:30 EDT,SCC21,12,Male,12U Boys D2,PSJ United 2014 U12 CC,Port Orange 2014 Boys,,
4/11/2026,11:30 EDT,SCC01,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,DC Sports 2017/2018,,
4/11/2026,12:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR2 ENERGY,Spring 2026 CBS U12 Team 2,,
4/11/2026,12:45 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 2,Spring 2026 CBS U10 Team 2,,
4/11/2026,13:30 EDT,SCC30,14,Male,U14 Male Group 2,PSJ United 2012 - U14 CR1,MRP 1403,,
4/11/2026,14:00 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 4,U10 VRP1 JOHNSON Space Coast Rec S26,,
4/11/2026,15:15 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 3,Spring 2026 CBS U10 Team 1,,
,,,,,,,,,
4/12/2026,13:00 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,Orlando City Soccer School Windermere and Clermont 2015 Purple,,
4/12/2026,14:30 EDT,SCC30,19,Male,19U Boys D2,PSJ United 2008 U18 CC,Inter Soccer USA - 2008A,,
4/12/2026,16:30 EDT,SCC01,10,Male,10U Boys Local East,PSJ United 2016 U10 CC,East Orlando Knights 2016B Black,,
,,,,,,,,,
4/18/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
4/18/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
4/18/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 2,Team 1,,
4/18/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 3,Team 4,,
4/18/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 5,Team 6,,
4/18/2026,11:00 EDT,SCC30,15,Male,15U Boys D3,PSJ United 2011 U15 CC,Stetson FA 2011 Boys,,
4/18/2026,13:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR1,1202 Titusville,,
4/18/2026,14:30 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR2 ENERGY,1201 Titusville,,
4/18/2026,16:00 EDT,SCC21,12,Male,U12 Male Group 4,PSJ United 2014 - U12 CR3,Spring 2026 CBS U12 Team 1,,
,,,,,,,,,
4/19/2026,13:00 EDT,SCC30,15,Male,15U Boys D3,PSJ United 2011 U15 CC,SOSC 2011B Green,,
4/19/2026,15:00 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 2,U10 VRP4 WELLS Space Coast Rec S26,,
4/19/2026,16:15 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 3,U10 VRP5 REVELO Space Coast Rec S26,,
,,,,,,,,,
